t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
537636.9923749301,1442357081145889.5,127535728582826.67,1566561925213662.5,218936986519698.44,127530890439555.27,1468347168592348.2,-497575112.0080419,8929312946.636957,-324735636.3954843,-6.5561945910366474e-21,-50613684616.779724,392.73067810115657,272725711.274816
592400.6916124232,1470698939312162.8,139670550462930.84,1757113400458949.2,219371220550288.8,139665227846370.58,1643583344849536.8,-527685617.3245636,8938156400.128414,-327809882.2530227,-1.856153182602934e-20,-50628882540.244774,392.73067810115657,278424958.48268944
652640.7607736655,1499209739533568.0,152876573093083.16,1967706486711595.5,219780240494474.3,152870720264044.16,1836574448160306.2,-560040801.1062696,8946175587.764738,-330837124.79155594,-4.7144303760824706e-20,-50643085576.78794,392.73067810115657,284419491.33844304
718904.8368510321,1527902280128072.0,167241008155738.47,2200332151280566.0,220165709975154.78,167234575321531.2,2048969043317348.0,-594833093.282845,8953450435.536787,-333836495.7971522,-1.0623013582573082e-19,-50656351846.19194,392.73067810115657,290751708.9324786
791795.3205361353,1556788316644015.8,182857133895132.62,2457173734875942.5,220529152592536.3,182850066894641.56,2282557736006445.5,-632266626.2784685,8960052330.287794,-336825528.8223809,-2.0759936774153816e-19,-50668736364.96407,392.73067810115657,297464538.04141563
871974.8525897489,1585878729038598.0,199824611123068.06,2740623526873623.0,220871975581840.47,199816851092378.94,2539282954463973.5,-672558657.0121498,8966045325.241558,-339820523.3235754,-3.3291460375048486e-19,-50680291421.252495,392.73067810115657,304601823.52634233
960172.3378487239,1615183610732994.2,218249781840325.9,3053300315110707.5,221195486741889.1,218241264859026.9,2821248952966040.0,-715941022.269772,8971487092.29594,-342836805.92676705,-3.611131170799644e-19,-50691066867.57674,392.73067810115657,312208647.61196065
1057189.5716335964,1644712292645608.2,238245939388307.56,3398067820982852.0,221500905556816.88,238236596107042.75,3130731907122478.0,-762661626.1240981,8976429677.03113,-345888914.50891584,8.127972164709284e-20,-50701110310.01379,392.73067810115657,320331590.51095057
1163908.5287969562,1674473323018339.0,259933556107669.84,3778053876682948.0,221789369902212.1,259923311358049.22,3470189928451518.0,-812985940.833802,8980920107.266008,-348990725.9237131,1.877527695271235e-18,-50710467196.61041,392.73067810115657,329018938.87703156
1281299.381676652,1704474428101983.8,283440451319650.06,4196670132138847.5,222061939944055.3,283429223708314.7,3842272773567605.0,-867198486.5409529,8985000898.639746,-352155543.52266234,6.7903153503386234e-18,-50719180827.15489,392.73067810115657,338320844.31297404
1410429.3198443174,1734722478551117.2,308901878921875.56,4657631992020773.0,222319600780725.7,308889580411346.5,4249830960421077.0,-925604239.6752752,8988710491.53988,-355396156.13856065,1.7882936617024937e-17,-50727292317.69495,392.73067810115657,348289431.0395443
1552472.2518287492,1765223481662434.5,336460509840526.25,5164978375131797.0,222563265088804.6,336447045320497.25,4695923929104057.0,-988529904.5008216,8992083643.766087,-358724875.99083203,3.981594025713682e-17,-50734840555.571594,392.73067810115657,358978849.21317
1708719.4770116243,1795982611239885.8,366266279859363.0,5723090756118726.0,222793776598156.2,366251546713287.0,5183826796338214.0,-1056324965.764528,8995151793.717941,-362153559.15296465,7.867652900680043e-17,-50741862175.616585,392.73067810115657,370445267.7405394
1880591.424712787,1827004276459054.0,398476067866624.44,6336710788913719.0,223011914740667.7,398459955539965.5,5717035149340739.0,-1129362421.9311543,8997943400.530054,-365693608.8832906,1.407921740217097e-16,-50748391578.079704,392.73067810115657,382746797.4369795
2069650.5671840657,1858292220669605.2,433253163329757.0,7010955618775732.0,223218400380193.06,433235552907980.1,6299267204964079.0,-1208039077.1179109,9000484261.200045,-369355959.3305238,2.2975657849107735e-16,-50754460996.65362,392.73067810115657,395943331.8875614
2277615.6239024727,1889849632772671.5,470766474952351.0,7751329761935360.0,223413902206938.12,470747238758900.5,6934462523082627.0,-1292775244.94484,9002797800.889397,-373151034.9755026,3.406735894111145e-16,-50760100613.12918,392.73067810115657,410096289.4724784
2506377.18629272,1921679249550435.2,511189425260454.75,8563732167008464.0,223599043206258.47,511168426487410.56,7626776309751537.0,-1384013688.8929486,9004905331.43415,-377088679.80333275,4.50393873109988e-16,-50765338705.69504,392.73067810115657,425268235.9659299
2758014.904921992,1953783428298544.8,554698468750934.44,9454456771843734.0,223774406598662.34,554675561137856.2,8380568178523776.0,-1482217591.8130112,9006826274.413607,-381178049.7813896,5.0221501165691e-16,-50770201812.051,392.73067810115657,441522363.2734224
3034816.3954141918,1986164175365762.2,601471164865637.1,1.0430184539463594e+16,223940540775594.78,601446192445373.9,9200384063660622.0,-1587867313.1243088,9008578348.131763,-385427462.87229353,3.8299549753453715e-16,-50774714887.1439,392.73067810115657,458921796.6521929
3339298.034955611,2018823126400134.5,651683732339568.0,1.1497964610221426e+16,224097962979776.1,651656529273384.9,1.009092980749058e+16,-1701455658.1464994,9010177721.478144,-389844202.52120215,-1.1032623917024129e-16,-50778901438.53986,392.73067810115657,477528700.578434
3674227.838451172,2051761485632365.8,705508009622961.9,1.2665181866314746e+16,224247161738110.12,705478400151061.2,1.1057034792196186e+16,-1823481353.3520553,9011639140.710836,-394434273.1402007,-1.3195056715087304e-15,-50782783629.37728,392.73067810115657,497403152.70082617
4042650.6222962895,2084979941151580.8,763107748662206.5,1.3939507902900856e+16,224388598283213.7,763075547199727.1,1.2103603876831264e+16,-1954440399.177379,9012976036.850433,-399202109.2546311,-3.79652783730744e-15,-50786382347.66796,392.73067810115657,518601756.5079542
4447915.684525919,2118478577952163.0,824634178284545.2,1.53288321843896e+16,224522707341205.28,824599189696777.0,1.3235555863815924e+16,-2094814965.4720607,9014200621.17424,-404150243.3329279,-8.409682695467558e-15,-50789717248.963425,392.73067810115657,541175967.0189499
4893707.252978511,2152256809060731.2,890220791054572.4,1.6841170097678688e+16,224649897691326.72,890182811148446.1,1.4457746793737396e+16,-2245059513.0923047,9015323974.402905,-409278940.6576992,-1.6502493944451985e-14,-50792806784.74116,392.73067810115657,565170110.7472221
5384077.978276363,2186313337815470.8,959977336290396.5,1.8484544774983724e+16,224770552823394.1,959936152561657.1,1.577487659869369e+16,-2405583880.3088655,9016356132.258316,-414585812.84917957,-3.013374721982155e-14,-50795668229.88827,392.73067810115657,590619092.3638942
5923485.7761039995,2220646153833476.2,1033983044496265.5,2.0266840041283904e+16,224885031870999.44,1033938437172554.0,1.7191378084247258e+16,-2576733178.2218103,9017306167.101894,-420065424.95043975,-5.244222926769449e-14,-50798317719.51193,392.73067810115657,617545797.006193
6516834.3537144,2255252554856233.0,1112279166983328.6,2.2195622749124476e+16,224993670836082.75,1112230910402013.6,1.871128791226299e+16,-2758764509.5330586,9018182263.306313,-425708914.539977,-8.820407583362843e-14,-50800770299.54849,392.73067810115657,645958220.1008674
7169517.789085841,2290129179768605.0,1194860990178737.5,2.427793420013898e+16,225096783995377.06,1194808854534148.5,2.033810027130918e+16,-2951820772.5518456,9018991783.462847,-431503645.29979974,-1.446896953481693e-13,-50803039989.59707,392.73067810115657,675846386.6384667
7887469.567994425,2325272036485103.5,1281669576644000.8,2.6520052403925708e+16,225194665321935.1,1281613330130152.0,2.207460528337528e+16,-3155902145.098376,9019741323.546116,-437432921.7657925,-2.3299095677174215e-13,-50805139852.15421,392.73067810115657,707179159.1095365
8677216.524793869,2360676512028580.5,1372583591102686.5,2.8927229633035324e+16,225287589768646.16,1372523002465286.8,2.3922715912433332e+16,-3370836259.7153625,9020436757.257534,-443475796.19806445,-3.7009466887657743e-13,-50807082061.07095,392.73067810115657,739901076.8100562
9545938.177273257,2396337359259129.5,1467411683228007.2,3.1503413063656468e+16,225375814325092.2,1467346524721017.0,2.588328917320992e+16,-3596248566.5842724,9021083272.134052,-449607001.83232886,-5.821554484206048e-13,-50808877963.42556,392.73067810115657,773929416.4931465
10000000.0,2414159716437008.0,1515623454957351.2,3.2830069563777172e+16,225418563234292.66,1515555961091145.0,2.689003108648422e+16,-3711482386.0770454,9021393187.544453,-452671102.4014546,-7.116960796814795e-13,-50809735873.52832,392.73067810115657,791195191.30866
